Audit ID,Audit Name,Category,Bug Description,Root Cause,Fix Required,Priority,Status
AUD-001,Library Load & Performance Time,Performance,Timing detail columns (DNS / TCP / TTFB / Duration) missing in details table — only URL column renders,Panel table renderer not outputting timing columns from resourceTiming data,Add DNS / TCP / TTFB / Duration columns to the AUD-001 detail table in audits.js / panel.js,High,Pending
AUD-001,Library Load & Performance Time,Performance,First-party CDN assets (e.g. static.files.bbci.co.uk) included in third-party library count inflating the number,Filter logic checks for any cross-origin resource instead of truly external vendor domains,Tighten the third-party filter to exclude subdomains of the current site's registered domain (e.g. use tldts or manual eTLD+1 comparison),Medium,Pending
AUD-003,Cookie Auditing,Privacy,Third-party vendor cookies (Permutive / Chartbeat / Piano / Optimizely / Google Ads) misclassified as first-party — audit reports 0 third-party tracking (false PASS),Classification logic uses cookie domain ownership only; BBC server-side tagging sets all vendor cookies on .bbc.com so they appear first-party,Add a cookie name pattern allowlist (known vendor cookie names: _cb _cb_svref permutive-id __gads __gpi __eoi cX_P cX_G pa_vid _pprv _pcid _pctx _chartbeat2 optimizelyEndUserId etc.) to override domain-based classification,High,Pending
AUD-003,Cookie Auditing,Privacy,Consent cookies (e.g. ckns_policy) classified as first-party instead of consent category,consent cookie name patterns not matched against BBC CMP cookie names,Extend consent cookie name list to include ckns_policy and other CMP variants,Medium,Pending
AUD-004,CDP/Integration Data Flow,Compliance,Clicking Clear then re-running without page reload gives false PASS — consent violation evidence wiped from buffer,Audit only checks requests captured since last page load; Clear wipes the buffer so nothing to detect,Add warning prompt when Clear is clicked during consent-denied session OR persist consent-related request captures separately until page reload,Medium,Pending
AUD-005,Ad Tracking Flow Verification,Privacy,Status shows INFO instead of FAIL when ad pixels fire — inconsistent with AUD-004 which auto-detects violations without requiring manual toggle,AUD-005 requires explicit consent-denied toggle ON while AUD-004 does not — inconsistent consent detection logic between audits,Unify consent-denied detection logic across AUD-004 and AUD-005; auto-detect from CMP consent cookie state instead of requiring manual toggle,High,Pending
AUD-005,Ad Tracking Flow Verification,Privacy,Missing category column in details table — AUD-004 shows url/provider/category/status but AUD-005 only shows url/provider/status,category field not included in AUD-005 result rendering,Add category column to AUD-005 detail table output,Low,Pending
AUD-005,Ad Tracking Flow Verification,Privacy,Limited provider detection — only Google Ads detected on NYTimes despite Meta / LiveRamp / Trade Desk typically firing,Provider allowlist in providers.js may be missing entries for many common ad vendors,Expand providers.js with additional ad pixel patterns for Meta / LiveRamp / The Trade Desk / Amazon Ads / Criteo etc.,Medium,Pending
AUD-006,Zero-Cookie Load Test,Privacy,Extension Clear Cookies + Clear Storage buttons do not fully reset consent state — CMP banner does not reappear after clearing via extension popup,Extension may not be clearing HttpOnly cookies or service worker cache; also BBC CMP is geo-gated so banner only appears in EU/UK regions,Use chrome.browsingData API to clear all cookies including HttpOnly; add service worker cache clear; document that AUD-006 requires EU/UK geo or VPN for BBC,Medium,Pending
AUD-006,Zero-Cookie Load Test,Privacy,Essential cookies flagged as non-essential — __cf_bm (Cloudflare bot protection) and consentUUID (CMP own cookie) incorrectly listed as pre-consent violations,No whitelist for known essential/security cookies in AUD-006 logic,Add whitelist of known essential cookies (__cf_bm and variants / consentUUID / CookieConsent / OptanonConsent etc.) that are always exempt from pre-consent flagging,Medium,Pending
AUD-006,Zero-Cookie Load Test,Privacy,Detail table missing classification/category column — only shows name / domain / secure,category field not included in AUD-006 result table rendering,Add category column to AUD-006 detail table,Low,Pending
AUD-008,Third-Party Domain Requests,Privacy,Status shows INFO instead of WARN when third-party domains are detected — any external domain contact warrants at minimum a warning,Status threshold logic treating all third-party domain results as informational,Change status to WARN when 1+ third-party domains detected; FAIL above a configurable threshold (e.g. >10 domains),Medium,Pending
